Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Hispanic?,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Recidivism - Return to Prison,Days to Recidivism
2010,2013,0,1,1,1,5,3,9,0,1,147
2010,2013,0,1,1,1,3,3,3,0,1,147
2010,2013,0,1,1,1,1,4,5,2,1,148
2010,2013,0,1,1,1,4,1,18,0,1,148
2010,2013,1,1,1,1,4,3,9,2,1,149
2010,2013,0,1,1,0,4,0,6,2,1,149
2010,2013,1,1,1,3,3,4,23,0,1,149
2010,2013,0,1,1,0,3,0,6,2,1,150
2010,2013,1,1,0,1,1,4,5,0,1,151
2010,2013,0,1,1,0,4,3,3,2,1,152
2010,2013,1,1,1,1,1,4,5,0,1,155
2010,2013,0,1,0,1,4,3,8,0,1,156
2010,2013,0,1,1,0,3,3,9,0,1,157
2010,2013,0,1,0,1,1,4,5,0,1,159
2010,2013,0,1,0,0,3,4,11,0,1,159
2010,2013,0,1,1,1,0,4,5,0,1,160
2010,2013,1,1,1,1,1,3,3,0,1,160
2010,2013,0,1,1,3,3,0,0,0,1,160
2010,2013,1,1,1,3,5,4,5,0,1,162
2010,2013,1,1,0,0,3,0,7,2,1,162
2010,2013,0,1,1,5,3,1,1,0,1,163
2010,2013,4,1,1,1,3,3,9,0,1,226
2010,2013,0,1,1,3,3,1,23,2,1,164
2010,2013,0,1,1,1,1,4,5,0,1,165
2010,2013,0,1,1,1,3,4,23,0,1,165
2010,2013,0,1,1,0,4,3,19,2,1,166
2010,2013,0,1,1,1,4,0,0,2,1,166
2010,2013,0,1,1,0,1,3,3,0,1,166
2010,2013,1,1,1,3,4,1,18,2,1,167
2010,2013,0,1,1,1,3,0,0,0,1,167
2010,2013,0,0,1,3,3,1,1,0,1,168
2010,2013,0,1,1,1,3,4,5,0,1,169
2010,2013,0,1,1,1,3,4,23,0,1,169
2010,2013,0,1,1,0,3,1,18,0,1,170
2010,2013,0,0,1,0,4,3,3,2,1,170
2010,2013,1,1,1,1,1,4,5,0,1,170
2010,2013,1,1,1,1,3,1,4,2,1,171
2010,2013,0,1,1,0,3,3,8,0,1,172
2010,2013,0,1,0,3,3,3,8,0,1,172
2010,2013,1,1,1,1,1,4,5,0,1,173
2010,2013,1,1,1,3,3,3,8,0,1,173
2010,2013,0,1,1,0,3,3,8,2,1,174
2010,2013,1,1,1,1,3,1,1,0,1,174
2010,2013,1,1,1,3,1,3,3,0,1,174
2010,2013,0,1,1,0,1,4,5,0,1,175
2010,2013,0,1,1,1,3,1,1,0,1,175
2010,2013,0,1,1,0,3,3,3,0,1,175
2010,2013,0,0,1,1,3,3,3,0,1,176
2010,2013,0,1,1,1,3,1,4,2,1,177
2010,2013,0,1,1,1,3,0,6,2,1,177
2010,2013,0,1,1,4,5,4,5,0,1,178
2010,2013,0,1,1,3,3,4,23,0,1,178
2010,2013,0,1,1,0,3,3,3,0,1,179
